Td        ID        Tj        Df        Dd        Db        
3         15        3         0         0         0         
9         44        7         0         2         2         
10        60        9         0         1         1         
12        81        12        0         0         0         
12        14        2         0         10        10        
13        84        12        0         1         1         
23        136       20        0         3         3         
24        158       23        0         1         1         
25        2008      2         0         23        23        
27        187       27        0         0         0         
30        184       27        0         3         3         
33        223       32        0         1         1         
34        126       18        0         16        16        
34        95        14        0         20        20        
34        145       21        0         13        13        
36        235       34        0         2         2         
41        258       37        0         4         4         
42        160       23        0         19        19        
42        157       23        0         19        19        
45        229       33        0         12        12        
46        152       22        0         24        24        
46        227       33        0         13        13        
47        315       45        0         2         2         
49        269       39        0         10        10        
50        329       47        0         3         3         
50        271       39        0         11        11        
54        365       53        0         1         1         
58        2002      1         2         55        57        
60        393       57        0         3         3         
62        368       53        0         9         9         
66        417       60        0         6         6         
67        289       42        0         25        25        
73        494       71        0         2         2         
75        473       68        0         7         7         
77        480       69        0         8         8         
78        7         1         0         77        77        
82        558       80        0         2         2         
82        549       79        0         3         3         
85        557       80        0         5         5         
85        503       72        0         13        13        
86        601       86        0         0         0         
86        488       70        0         16        16        
86        511       73        0         13        13        
87        490       70        0         17        17        
89        339       49        0         40        40        
89        467       67        0         22        22        
89        443       64        0         25        25        
89        439       63        0         26        26        
89        525       75        0         14        14        
93        630       90        0         3         3         
93        544       78        0         15        15        
97        645       93        0         4         4         
99        693       99        0         0         0         
100       670       96        0         4         4         
106       711       102       0         4         4         
108       2074      11        49        48        97        
111       754       108       0         3         3         
112       708       102       0         10        10        
116       795       114       0         2         2         
119       766       110       0         9         9         
122       829       119       0         3         3         
123       397       57        0         66        66        
125       295       43        0         82        82        
131       897       129       0         2         2         
135       930       133       0         2         2         
139       926       133       0         6         6         
143       999       143       0         0         0         
144       2022      4         105       35        140       
148       2999      144       0         4         4         
148       968       139       0         9         9         
153       2181      26        118       9         127       
155       2191      28        125       2         127       
170       2196      29        127       14        141       
172       2999      152       0         20        20        
173       2999      153       0         20        20        
180       2214      31        140       9         149       
185       2999      154       0         31        31        
197       2232      34        146       17        163       
199       2137      20        2         177       179       
202       2251      36        161       5         166       
208       2391      56        10        142       152       
208       2999      160       0         48        48        
210       2257      37        165       8         173       
210       2999      157       0         53        53        
215       2999      159       0         56        56        
219       2092      14        1         204       205       
221       2193      28        20        173       193       
221       2266      39        172       10        182       
225       2999      173       0         52        52        
226       2065      10        3         213       216       
230       2999      171       0         59        59        
233       2999      167       0         66        66        
238       2010      2         219       17        236       
238       2999      174       0         64        64        
238       2999      177       0         61        61        
240       2999      178       0         62        62        
241       2621      89        1         151       152       
242       2999      164       0         78        78        
246       2058      9         1         236       237       
246       2300      43        0         203       203       
247       2999      182       0         65        65        
248       2999      186       0         62        62        
248       2999      186       0         62        62        
249       2999      184       0         65        65        
254       2312      45        201       8         209       
258       2218      32        26        200       226       
259       2999      178       0         81        81        
260       2999      188       0         72        72        
261       2197      29        1         231       232       
264       2999      187       0         77        77        
271       2322      47        207       17        224       
271       2999      197       0         74        74        
274       2343      50        221       3         224       
274       2999      202       0         72        72        
274       2999      210       0         64        64        
284       2347      50        0         234       234       
295       2029      5         2         288       290       
296       2657      94        6         196       202       
299       2664      95        17        187       204       
302       2362      52        233       17        250       
305       2388      56        246       3         249       
312       2392      57        248       7         255       
319       67        10        22        287       309       
323       2307      44        29        250       279       
331       2402      58        254       19        273       
333       2424      61        0         272       272       
334       2999      232       0         102       102       
335       2999      226       0         109       109       
340       2428      62        272       6         278       
343       2436      63        277       3         280       
348       2151      22        6         320       326       
352       2999      228       0         124       124       
357       2080      12        331       14        345       
358       2131      19        1         338       339       
358       171       25        12        321       333       
358       52        8         3         347       350       
363       2999      229       0         134       134       
371       2212      31        14        326       340       
371       2457      66        291       14        305       
382       2998      143       38        201       239       
387       2477      69        303       15        318       
388       2999      240       0         148       148       
391       2020      3         1         387       388       
395       2497      72        316       7         323       
398       2892      128       60        210       270       
400       2506      73        323       4         327       
407       2512      74        326       7         333       
407       2999      246       0         161       161       
414       2838      120       1         293       294       
418       2522      75        333       10        343       
421       2999      245       0         176       176       
425       2534      77        341       7         348       
436       2544      78        0         358       358       
438       2999      259       0         179       179       
439       2744      107       24        308       332       
448       2556      80        357       11        368       
449       2999      265       0         184       184       
453       2999      267       0         186       186       
454       2757      109       10        335       345       
458       2569      82        367       9         376       
458       2999      255       0         203       203       
467       2583      84        374       9         383       
467       2999      274       0         193       193       
468       2999      258       0         210       210       
471       2999      264       0         207       207       
472       2999      276       0         196       196       
475       2999      280       0         195       195       
476       2999      258       0         218       218       
477       2999      255       0         222       222       
478       2626      90        6         382       388       
479       2595      86        381       12        393       
481       86        13        14        454       468       
482       2999      274       0         208       208       
485       2609      88        391       6         397       
487       2570      82        6         399       405       
492       2623      90        396       6         402       
498       2631      91        402       5         407       
500       2999      276       0         224       224       
====================================================

Battle Result: Draw

====================================================

For Earth Army:

   -   Earth Soldiers total number: 2107
   -   Earth Tanks total number: 1065
   -   Earth Gunnery total number: 175
   -   Earth units healing % : 0.0298775%
   -   Earth Soldiers destruction % : 0.237304%
   -   Earth Tanks destruction % : 2.06573%
   -   Earth Gunnery destruction % : 49.1429%
   -   Earth total destruction % : 3.37616%
   -   Average of Df : 0.451327
   -   Average of Db : 63.3186
   -   Average of Dd : 62.8673
   -   Df/Db % : 0.712788%
   -   Dd/Db % : 99.2872%

====================================================

For Alien Army:

   -   Alien Soldiers total number: 516
   -   Alien Monsters total number: 503
   -   Alien Drones total number: 2488
   -   Alien Soldiers destruction % : 0%
   -   Alien Monsters destruction % : 4.97018%
   -   Alien Drones destruction % : 1.60772%
   -   Alien total destruction % : 1.85344%
   -   Average of Df : 141.631
   -   Average of Db : 259.862
   -   Average of Dd : 118.231
   -   Df/Db % : 54.5024%
   -   Dd/Db % : 45.4976%
====================================================
